acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,location
-0.4300500154,9.136050224,2.049000025,0.05073750019,-0.04551250115,-0.09638749808,-5.90625,-19.80000114,21.61875153,A201
0.009000000544,8.619000435,2.853000164,-0.1302125007,0.006874999963,-0.0683375001,-9.0,-20.28750038,19.38750076,A201
-7.11495018,5.017950058,9.154950142,-0.6535375118,-0.6275500059,-1.33168745,-4.78125,-5.8125,-21.95625114,A201
-1.234950066,8.475000381,6.358950138,-0.6355249882,-0.09418749809,-0.5806624889,-6.693750381,-7.050000191,-26.04375076,A201
1.455000043,8.848950386,1.723050117,0.09501250088,0.002062499989,-0.07177499682,-7.256250381,-18.84375,16.61250114,A201
0.07605000585,7.861950397,2.700000048,-0.1692624986,0.2799499929,0.103262499,16.33125114,-11.45625019,-19.61250114,A201
-0.3540000021,9.136050224,3.840000153,0.1874125004,0.0937749967,-0.06957499683,-7.368750095,-18.88125038,20.08125114,A201
0.9090000391,9.711000443,4.51995039,-0.02901249938,0.3937999904,0.0919874981,-15.91875076,-20.08125114,13.55625057,A201
0.1140000075,9.901950836,2.623950243,0.8129000068,-0.0438624993,0.2220624983,18.52500153,-13.70625019,5.925000191,A201
-0.153000012,8.494050026,2.470050097,0.09350000322,-0.122512497,-0.03959999979,-5.025000095,-19.65000153,19.14375114,A201
3.897000074,9.883050919,3.676950216,-0.01856249943,0.1688500047,0.09212499857,12.67500019,-11.19375038,-23.04375076,A201
-0.1810500026,9.145950317,2.691000223,0.2173874974,-0.0186999999,0.1507000029,-8.231250763,-19.48125076,16.875,A201
-4.242000103,5.851050377,8.466000557,-0.2307250053,0.141762495,-0.2605625093,22.44375038,-13.70625019,0.4875000119,A201
-1.359000087,8.953950882,8.302950859,-0.3088249862,0.455812484,-0.2088624984,-6.825000286,-22.93125153,20.26875114,A201
0.5839500427,8.734050751,1.426050067,0.29232499,0.006599999964,0.2554749846,-8.606250763,-19.81875038,16.57500076,A201
0.1050000042,9.021000862,4.471950054,-0.2842124999,0.07424999774,-0.02626249939,-9.881250381,-25.87500191,15.16875076,A201
1.684950113,9.997950554,3.936000109,0.05293750018,0.1135749966,-0.1430000067,11.68125057,-10.05000019,-23.41875076,A201
-0.5170500278,8.878050804,0.9960000515,-0.03726249933,-0.1836999953,-0.02612499893,-5.025000095,-19.125,18.45000076,A201
-0.1050000042,8.197950363,4.126950264,-0.3642374873,0.04867500067,0.0380874984,-10.76250076,-26.19375038,14.98125076,A201
-1.780950069,8.791049957,5.170950413,-0.46419999,0.167750001,-0.1912624985,-2.587500095,-7.162500381,-26.28750038,A201
0.4110000134,9.997950554,3.102000237,0.4822124839,0.2638624907,0.3795000017,-9.506250381,-19.27500153,17.41875076,A201
-0.2389500141,9.577050209,2.815050125,-0.236087501,0.01512499992,-0.00742499996,-9.881250381,-25.36875153,14.17500019,A201
-0.4210500121,10.62105083,2.767050028,0.05513750017,0.02543750033,-0.1596374959,13.93125057,-10.96875,-21.54375076,A201
