pca_1,pca_2,pca_3,location
-0.32096587621422557,-0.32096587621422557,-0.32096587621422557,archivo_gestion_documental
-0.25290705557868376,-0.25290705557868376,-0.25290705557868376,archivo_gestion_documental
-0.2734511373321826,-0.2734511373321826,-0.2734511373321826,archivo_gestion_documental
-0.22427319356267192,-0.22427319356267192,-0.22427319356267192,archivo_gestion_documental
-0.26406799015237764,-0.26406799015237764,-0.26406799015237764,archivo_gestion_documental
-0.31005353366627203,-0.31005353366627203,-0.310053533666272,archivo_gestion_documental
-0.26842099246670986,-0.26842099246670986,-0.26842099246670986,archivo_gestion_documental
-0.27712676223108446,-0.27712676223108446,-0.27712676223108446,archivo_gestion_documental
0.336495958007827,0.336495958007827,0.336495958007827,bano_hombres_1er_piso_B
-0.031250150454553705,-0.031250150454553705,-0.031250150454553705,bano_hombres_1er_piso_B
0.35862858803709174,0.35862858803709174,0.35862858803709174,bano_hombres_1er_piso_B
-0.3321842059528075,-0.3321842059528075,-0.3321842059528075,bano_hombres_1er_piso_B
-0.3677951990213254,-0.3677951990213254,-0.3677951990213254,bano_hombres_1er_piso_B
0.37699657871674025,0.37699657871674025,0.37699657871674025,bano_hombres_1er_piso_B
0.3896046237231564,0.3896046237231564,0.3896046237231564,bano_hombres_1er_piso_B
0.39861597532559995,0.39861597532559995,0.39861597532559995,bano_hombres_1er_piso_B
-0.26130826894148523,-0.26130826894148523,-0.26130826894148523,bano_hombres_1er_piso_B
-0.3909178711088226,-0.3909178711088226,-0.3909178711088226,bano_hombres_1er_piso_B
-0.03582515543522982,-0.03582515543522982,-0.03582515543522982,bano_hombres_1er_piso_B
-0.36051866255131854,-0.36051866255131854,-0.36051866255131854,bano_hombres_1er_piso_B
0.3524328861083037,0.3524328861083037,0.3524328861083037,bano_hombres_1er_piso_B
-0.2515970550641218,-0.2515970550641218,-0.2515970550641218,bano_hombres_1er_piso_B
-0.3816903630834149,-0.3816903630834149,-0.3816903630834149,bano_hombres_1er_piso_B
0.39464175722383926,0.39464175722383926,0.39464175722383926,bano_hombres_1er_piso_B
-0.3561983980403208,-0.3561983980403208,-0.3561983980403208,bano_hombres_1er_piso_B
0.3898396380001557,0.3898396380001557,0.3898396380001557,bano_hombres_1er_piso_B
0.3685730846777639,0.3685730846777639,0.3685730846777639,bano_hombres_1er_piso_B
-0.3322228647674098,-0.3322228647674098,-0.3322228647674098,bano_hombres_1er_piso_B
